Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
629,20,1,1,1,57,1,7,710,1.949e-11,0.5350744,0.017546199999999998,0.0014,0.0014,0.0014,0.0489888,0.0014,1.74e-05,1.368e-02,2.168e-09
1,62,1,1,243,401,1,7,710,1.949e-11,0.0014,0.0532378,0.0014,0.0014,0.2070516,0.34132,0.0014,1.74e-05,1.415e-02,2.186e-09
59,1,349,1,1,1,298,7,710,1.949e-11,0.0506884,0.0014,0.29713039999999996,0.0014,0.0014,0.0014,0.25379060000000003,1.74e-05,1.418e-02,2.141e-09
269,1,1,383,1,54,1,7,710,1.949e-11,0.2291464,0.0014,0.0014,0.32602359999999997,0.0014,0.0464394,0.0014,1.74e-05,1.448e-02,2.096e-09
126,547,33,1,1,1,1,7,710,1.949e-11,0.107625,0.4653908,0.0285936,0.0014,0.0014,0.0014,0.0014,1.74e-05,1.354e-02,2.123e-09
1,36,1,198,1,472,1,7,710,1.949e-11,0.0014,0.031142999999999997,0.0014,0.1688106,0.0014,0.4016558,0.0014,1.74e-05,1.348e-02,2.219e-09
266,1,420,1,1,20,1,7,710,1.949e-11,0.22659700000000002,0.0014,0.35746619999999996,0.0014,0.0014,0.017546199999999998,0.0014,1.74e-05,1.425e-02,2.085e-09
589,76,1,1,1,41,1,7,710,1.949e-11,0.5010823999999999,0.06513500000000001,0.0014,0.0014,0.0014,0.035392,0.0014,1.74e-05,1.401e-02,2.144e-09
104,593,1,1,1,1,9,7,710,1.949e-11,0.0889294,0.5044816,0.0014,0.0014,0.0014,0.0014,0.0081984,1.74e-05,1.315e-02,2.157e-09
451,1,244,1,1,1,11,7,710,1.949e-11,0.38381,0.0014,0.2079014,0.0014,0.0014,0.0014,0.009898,1.74e-05,1.504e-02,2.076e-09
186,21,1,1,1,499,1,7,710,1.949e-11,0.158613,0.018396,0.0014,0.0014,0.0014,0.4246004,0.0014,1.74e-05,1.294e-02,2.198e-09
1,2,1,282,1,422,1,7,710,1.949e-11,0.0014,0.0022498,0.0014,0.2401938,0.0014,0.3591658,0.0014,1.74e-05,1.404e-02,2.208e-09
1,484,57,1,1,1,165,7,710,1.949e-11,0.0014,0.4118534,0.0489888,0.0014,0.0014,0.0014,0.1407672,1.74e-05,1.473e-02,2.147e-09
1,455,196,1,1,55,1,7,710,1.949e-11,0.0014,0.3872092,0.167111,0.0014,0.0014,0.0472892,0.0014,1.74e-05,1.527e-02,2.110e-09
1,1,29,1,543,134,1,7,710,1.949e-11,0.0014,0.0014,0.0251944,0.0014,0.4619916,0.11442340000000001,0.0014,1.74e-05,1.415e-02,2.262e-09
203,452,1,1,1,51,1,7,710,1.949e-11,0.1730596,0.3846598,0.0014,0.0014,0.0014,0.04389,0.0014,1.74e-05,1.437e-02,2.070e-09
1,181,37,1,488,1,1,7,710,1.949e-11,0.0014,0.154364,0.0319928,0.0014,0.41525259999999997,0.0014,0.0014,1.74e-05,1.330e-02,2.181e-09
1,1,49,1,1,331,326,7,710,1.949e-11,0.0014,0.0014,0.042190399999999996,0.0014,0.0014,0.28183400000000003,0.27758499999999997,1.74e-05,1.470e-02,2.231e-09
1,586,1,1,39,81,1,7,710,1.949e-11,0.0014,0.49853299999999995,0.0014,0.0014,0.0336924,0.069384,0.0014,1.74e-05,1.413e-02,2.191e-09
274,1,58,1,1,374,1,7,710,1.949e-11,0.2333954,0.0014,0.049838600000000004,0.0014,0.0014,0.3183754,0.0014,1.74e-05,1.361e-02,2.107e-09
1,1,281,18,407,1,1,7,710,1.949e-11,0.0014,0.0014,0.239344,0.015846600000000002,0.34641879999999997,0.0014,0.0014,1.74e-05,1.417e-02,2.169e-09
1,1,1,247,399,60,1,7,710,1.949e-11,0.0014,0.0014,0.0014,0.21045080000000002,0.3396204,0.0515382,0.0014,1.74e-05,1.473e-02,2.177e-09
9,1,1,135,1,562,1,7,710,1.949e-11,0.0081984,0.0014,0.0014,0.1152732,0.0014,0.4781378,0.0014,1.74e-05,1.311e-02,2.282e-09
1,33,1,1,355,318,1,7,710,1.949e-11,0.0014,0.0285936,0.0014,0.0014,0.3022292,0.2707866,0.0014,1.74e-05,1.487e-02,2.199e-09
1,180,1,10,1,1,516,7,710,1.949e-11,0.0014,0.15351420000000002,0.0014,0.0090482,0.0014,0.0014,0.43904699999999997,1.74e-05,1.292e-02,2.256e-09
40,536,1,1,1,130,1,7,710,1.949e-11,0.0345422,0.456043,0.0014,0.0014,0.0014,0.1110242,0.0014,1.74e-05,1.436e-02,2.151e-09
526,1,46,1,1,134,1,7,710,1.949e-11,0.44754499999999997,0.0014,0.039640999999999996,0.0014,0.0014,0.11442340000000001,0.0014,1.74e-05,1.462e-02,2.113e-09
1,120,539,1,1,1,47,7,710,1.949e-11,0.0014,0.10252620000000001,0.4585924,0.0014,0.0014,0.0014,0.0404908,1.74e-05,1.378e-02,2.176e-09
1,1,1,1,49,97,560,7,710,1.949e-11,0.0014,0.0014,0.0014,0.0014,0.042190399999999996,0.08298080000000001,0.4764382,1.74e-05,1.322e-02,2.330e-09
1,1,1,150,1,49,507,7,710,1.949e-11,0.0014,0.0014,0.0014,0.1280202,0.0014,0.042190399999999996,0.4313988,1.74e-05,1.327e-02,2.272e-09
1,1,1,1,5,418,283,7,710,1.949e-11,0.0014,0.0014,0.0014,0.0014,0.0047992,0.3557666,0.2410436,1.74e-05,1.502e-02,2.250e-09
