Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
35,156,9,3,200,1e-12,0.0302932,0.13311900000000002,0.0081984,6.800000000000001e-07,1.660e-03,7.401e-10
4,127,69,3,200,1e-12,0.0039494,0.10847480000000001,0.0591864,6.800000000000001e-07,1.791e-03,7.654e-10
106,90,4,3,200,1e-12,0.090629,0.07703220000000001,0.0039494,6.800000000000001e-07,1.777e-03,7.274e-10
9,165,26,3,200,1e-12,0.0081984,0.1407672,0.022645,6.800000000000001e-07,1.767e-03,7.647e-10
56,11,133,3,200,1e-12,0.048138999999999994,0.009898,0.1135736,6.800000000000001e-07,1.552e-03,7.339e-10
90,99,11,3,200,1e-12,0.07703220000000001,0.0846804,0.009898,6.800000000000001e-07,1.746e-03,7.254e-10
136,12,52,3,200,1e-12,0.116123,0.0107478,0.044739799999999996,6.800000000000001e-07,1.743e-03,7.354e-10
98,16,86,3,200,1e-12,0.0838306,0.014147,0.07363300000000002,6.800000000000001e-07,1.696e-03,7.235e-10
25,143,32,3,200,1e-12,0.021795199999999997,0.1220716,0.027743800000000002,6.800000000000001e-07,1.705e-03,7.454e-10
2,174,24,3,200,1e-12,0.0022498,0.1484154,0.0209454,6.800000000000001e-07,1.801e-03,7.822e-10
20,10,170,3,200,1e-12,0.017546199999999998,0.0090482,0.1450162,6.800000000000001e-07,1.588e-03,7.742e-10
125,7,68,3,200,1e-12,0.10677520000000001,0.006498799999999999,0.058336599999999995,6.800000000000001e-07,1.702e-03,7.330e-10
111,79,10,3,200,1e-12,0.094878,0.0676844,0.0090482,6.800000000000001e-07,1.791e-03,7.267e-10
35,18,147,3,200,1e-12,0.0302932,0.015846600000000002,0.12547080000000002,6.800000000000001e-07,1.552e-03,7.402e-10
1,105,94,3,200,1e-12,0.0014,0.0897792,0.08043140000000001,6.800000000000001e-07,1.773e-03,7.654e-10
28,143,29,3,200,1e-12,0.0243446,0.1220716,0.0251944,6.800000000000001e-07,1.694e-03,7.396e-10
137,56,7,3,200,1e-12,0.11697280000000002,0.048138999999999994,0.006498799999999999,6.800000000000001e-07,1.822e-03,7.323e-10
21,70,109,3,200,1e-12,0.018396,0.060036200000000005,0.09317840000000001,6.800000000000001e-07,1.635e-03,7.403e-10
46,22,132,3,200,1e-12,0.039640999999999996,0.0192458,0.11272380000000001,6.800000000000001e-07,1.554e-03,7.359e-10
125,48,27,3,200,1e-12,0.10677520000000001,0.041340600000000005,0.0234948,6.800000000000001e-07,1.811e-03,7.296e-10
43,28,129,3,200,1e-12,0.0370916,0.0243446,0.1101744,6.800000000000001e-07,1.554e-03,7.338e-10
119,36,45,3,200,1e-12,0.1016764,0.031142999999999997,0.0387912,6.800000000000001e-07,1.796e-03,7.290e-10
69,67,64,3,200,1e-12,0.0591864,0.0574868,0.0549374,6.800000000000001e-07,1.716e-03,7.219e-10
36,6,158,3,200,1e-12,0.031142999999999997,0.0056489999999999995,0.1348186,6.800000000000001e-07,1.555e-03,7.524e-10
136,7,57,3,200,1e-12,0.116123,0.006498799999999999,0.0489888,6.800000000000001e-07,1.718e-03,7.350e-10
72,23,105,3,200,1e-12,0.0617358,0.020095599999999998,0.0897792,6.800000000000001e-07,1.638e-03,7.219e-10
109,28,63,3,200,1e-12,0.09317840000000001,0.0243446,0.0540876,6.800000000000001e-07,1.766e-03,7.274e-10
83,17,100,3,200,1e-12,0.07108360000000001,0.014996800000000001,0.08553020000000001,6.800000000000001e-07,1.652e-03,7.282e-10
138,44,18,3,200,1e-12,0.11782260000000001,0.0379414,0.015846600000000002,6.800000000000001e-07,1.819e-03,7.341e-10
90,41,69,3,200,1e-12,0.07703220000000001,0.035392,0.0591864,6.800000000000001e-07,1.751e-03,7.231e-10
44,53,103,3,200,1e-12,0.0379414,0.0455896,0.08807960000000001,6.800000000000001e-07,1.603e-03,7.281e-10
62,50,88,3,200,1e-12,0.0532378,0.0430402,0.0753326,6.800000000000001e-07,1.677e-03,7.195e-10
52,75,73,3,200,1e-12,0.044739799999999996,0.0642852,0.0625856,6.800000000000001e-07,1.670e-03,7.233e-10
65,78,57,3,200,1e-12,0.0557872,0.06683460000000001,0.0489888,6.800000000000001e-07,1.707e-03,7.227e-10
144,13,43,3,200,1e-12,0.12292140000000001,0.0115976,0.0370916,6.800000000000001e-07,1.756e-03,7.372e-10
16,126,58,3,200,1e-12,0.014147,0.107625,0.049838600000000004,6.800000000000001e-07,1.734e-03,7.490e-10
25,106,69,3,200,1e-12,0.021795199999999997,0.090629,0.0591864,6.800000000000001e-07,1.687e-03,7.372e-10
27,22,151,3,200,1e-12,0.0234948,0.0192458,0.12887,6.800000000000001e-07,1.560e-03,7.508e-10
4,81,115,3,200,1e-12,0.0039494,0.069384,0.09827720000000001,6.800000000000001e-07,1.706e-03,7.580e-10
35,115,50,3,200,1e-12,0.0302932,0.09827720000000001,0.0430402,6.800000000000001e-07,1.674e-03,7.334e-10
107,66,27,3,200,1e-12,0.09147880000000001,0.056637,0.0234948,6.800000000000001e-07,1.792e-03,7.202e-10
4,117,79,3,200,1e-12,0.0039494,0.09997680000000002,0.0676844,6.800000000000001e-07,1.779e-03,7.576e-10
16,85,99,3,200,1e-12,0.014147,0.0727832,0.0846804,6.800000000000001e-07,1.678e-03,7.460e-10
89,17,94,3,200,1e-12,0.0761824,0.014996800000000001,0.08043140000000001,6.800000000000001e-07,1.674e-03,7.280e-10
72,18,110,3,200,1e-12,0.0617358,0.015846600000000002,0.09402820000000002,6.800000000000001e-07,1.608e-03,7.278e-10
118,73,9,3,200,1e-12,0.1008266,0.0625856,0.0081984,6.800000000000001e-07,1.801e-03,7.247e-10
42,30,128,3,200,1e-12,0.0362418,0.0260442,0.10932460000000001,6.800000000000001e-07,1.558e-03,7.341e-10
17,171,12,3,200,1e-12,0.014996800000000001,0.14586600000000002,0.0107478,6.800000000000001e-07,1.708e-03,7.601e-10
27,133,40,3,200,1e-12,0.0234948,0.1135736,0.0345422,6.800000000000001e-07,1.698e-03,7.418e-10
71,87,42,3,200,1e-12,0.060885999999999996,0.07448280000000002,0.0362418,6.800000000000001e-07,1.720e-03,7.216e-10
144,8,48,3,200,1e-12,0.12292140000000001,0.007348599999999999,0.041340600000000005,6.800000000000001e-07,1.732e-03,7.361e-10
16,121,63,3,200,1e-12,0.014147,0.10337600000000001,0.0540876,6.800000000000001e-07,1.731e-03,7.484e-10
57,124,19,3,200,1e-12,0.0489888,0.10592540000000002,0.0166964,6.800000000000001e-07,1.674e-03,7.260e-10
6,49,145,3,200,1e-12,0.0056489999999999995,0.042190399999999996,0.12377120000000001,6.800000000000001e-07,1.626e-03,7.640e-10
39,97,64,3,200,1e-12,0.0336924,0.08298080000000001,0.0549374,6.800000000000001e-07,1.655e-03,7.275e-10
51,68,81,3,200,1e-12,0.04389,0.058336599999999995,0.069384,6.800000000000001e-07,1.660e-03,7.224e-10
11,72,117,3,200,1e-12,0.009898,0.0617358,0.09997680000000002,6.800000000000001e-07,1.662e-03,7.484e-10
21,40,139,3,200,1e-12,0.018396,0.0345422,0.11867240000000001,6.800000000000001e-07,1.577e-03,7.479e-10
91,60,49,3,200,1e-12,0.077882,0.0515382,0.042190399999999996,6.800000000000001e-07,1.766e-03,7.199e-10
59,34,107,3,200,1e-12,0.0506884,0.029443399999999998,0.09147880000000001,6.800000000000001e-07,1.620e-03,7.249e-10
12,5,183,3,200,1e-12,0.0107478,0.0047992,0.15606360000000002,6.800000000000001e-07,1.637e-03,7.959e-10
120,74,6,3,200,1e-12,0.10252620000000001,0.0634354,0.0056489999999999995,6.800000000000001e-07,1.803e-03,7.298e-10
7,176,17,3,200,1e-12,0.006498799999999999,0.150115,0.014996800000000001,6.800000000000001e-07,1.760e-03,7.759e-10
13,30,157,3,200,1e-12,0.0115976,0.0260442,0.13396880000000003,6.800000000000001e-07,1.592e-03,7.604e-10
16,80,104,3,200,1e-12,0.014147,0.06853420000000002,0.0889294,6.800000000000001e-07,1.667e-03,7.445e-10
154,19,27,3,200,1e-12,0.1314194,0.0166964,0.0234948,6.800000000000001e-07,1.787e-03,7.364e-10
20,39,141,3,200,1e-12,0.017546199999999998,0.0336924,0.120372,6.800000000000001e-07,1.576e-03,7.492e-10
22,121,57,3,200,1e-12,0.0192458,0.10337600000000001,0.0489888,6.800000000000001e-07,1.711e-03,7.444e-10
34,132,34,3,200,1e-12,0.029443399999999998,0.11272380000000001,0.029443399999999998,6.800000000000001e-07,1.677e-03,7.330e-10
