Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
1,1,1,80,214,203,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.06853420000000002,0.1824074,0.1730596,3.0399999999999997e-06,3.750e-03,9.633e-10
306,55,1,1,136,1,6,500,2.7829999999999998e-12,0.260589,0.0472892,0.0014,0.0014,0.116123,0.0014,3.0399999999999997e-06,4.115e-03,8.746e-10
381,1,2,1,114,1,6,500,2.7829999999999998e-12,0.32432399999999995,0.0014,0.0022498,0.0014,0.09742740000000001,0.0014,3.0399999999999997e-06,3.822e-03,9.099e-10
6,469,1,22,1,1,6,500,2.7829999999999998e-12,0.0056489999999999995,0.3991064,0.0014,0.0192458,0.0014,0.0014,3.0399999999999997e-06,3.889e-03,9.736e-10
115,1,334,1,48,1,6,500,2.7829999999999998e-12,0.09827720000000001,0.0014,0.2843834,0.0014,0.041340600000000005,0.0014,3.0399999999999997e-06,3.469e-03,8.761e-10
135,1,1,1,52,310,6,500,2.7829999999999998e-12,0.1152732,0.0014,0.0014,0.0014,0.044739799999999996,0.26398819999999995,3.0399999999999997e-06,3.319e-03,8.891e-10
1,212,279,1,1,6,6,500,2.7829999999999998e-12,0.0014,0.1807078,0.23764440000000003,0.0014,0.0014,0.0056489999999999995,3.0399999999999997e-06,3.936e-03,8.984e-10
99,1,174,1,224,1,6,500,2.7829999999999998e-12,0.0846804,0.0014,0.1484154,0.0014,0.19090540000000003,0.0014,3.0399999999999997e-06,3.662e-03,8.618e-10
1,98,1,203,196,1,6,500,2.7829999999999998e-12,0.0014,0.0838306,0.0014,0.1730596,0.167111,0.0014,3.0399999999999997e-06,3.623e-03,8.962e-10
1,363,92,1,1,42,6,500,2.7829999999999998e-12,0.0014,0.30902759999999996,0.0787318,0.0014,0.0014,0.0362418,3.0399999999999997e-06,4.241e-03,9.260e-10
170,1,1,219,1,108,6,500,2.7829999999999998e-12,0.1450162,0.0014,0.0014,0.18665640000000003,0.0014,0.09232860000000001,3.0399999999999997e-06,3.557e-03,8.663e-10
142,1,1,122,233,1,6,500,2.7829999999999998e-12,0.1212218,0.0014,0.0014,0.10422580000000001,0.19855360000000002,0.0014,3.0399999999999997e-06,3.622e-03,8.618e-10
