Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
1,13,878,1,1,1,35,7,930,2.1999999999999998e-11,0.0014,0.0115976,0.7466746,0.0014,0.0014,0.0014,0.0302932,2.3709999999999998e-05,1.476e-02,2.252e-09
1,229,11,686,1,1,1,7,930,2.1999999999999998e-11,0.0014,0.1951544,0.009898,0.5835130000000001,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.489e-02,2.112e-09
7,257,1,1,662,1,1,7,930,2.1999999999999998e-11,0.006498799999999999,0.2189488,0.0014,0.0014,0.5631178,0.0014,0.0014,2.3709999999999998e-05,1.494e-02,2.114e-09
45,1,1,1,1,279,602,7,930,2.1999999999999998e-11,0.0387912,0.0014,0.0014,0.0014,0.0014,0.23764440000000003,0.5121298000000001,2.3709999999999998e-05,1.541e-02,2.167e-09
1,10,435,1,1,1,481,7,930,2.1999999999999998e-11,0.0014,0.0090482,0.37021319999999996,0.0014,0.0014,0.0014,0.409304,2.3709999999999998e-05,1.595e-02,2.113e-09
542,1,1,1,28,356,1,7,930,2.1999999999999998e-11,0.4611418,0.0014,0.0014,0.0014,0.0243446,0.30307899999999993,0.0014,2.3709999999999998e-05,1.659e-02,2.038e-09
1,840,1,1,56,1,30,7,930,2.1999999999999998e-11,0.0014,0.7143822000000001,0.0014,0.0014,0.048138999999999994,0.0014,0.0260442,2.3709999999999998e-05,1.535e-02,2.165e-09
1,1,1,13,167,1,746,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.0115976,0.1424668,0.0014,0.634501,2.3709999999999998e-05,1.463e-02,2.262e-09
797,1,1,1,14,115,1,7,930,2.1999999999999998e-11,0.6778407999999999,0.0014,0.0014,0.0014,0.0124474,0.09827720000000001,0.0014,2.3709999999999998e-05,1.597e-02,2.120e-09
476,442,1,1,1,8,1,7,930,2.1999999999999998e-11,0.40505499999999994,0.3761618,0.0014,0.0014,0.0014,0.007348599999999999,0.0014,2.3709999999999998e-05,1.726e-02,1.979e-09
1,26,1,1,68,832,1,7,930,2.1999999999999998e-11,0.0014,0.022645,0.0014,0.0014,0.058336599999999995,0.7075838,0.0014,2.3709999999999998e-05,1.448e-02,2.297e-09
1,1,459,427,40,1,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.39060839999999997,0.3634148,0.0345422,0.0014,0.0014,2.3709999999999998e-05,1.749e-02,2.046e-09
1,1,1,41,534,1,351,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.035392,0.4543434,0.0014,0.29883,2.3709999999999998e-05,1.716e-02,2.132e-09
