Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
4,63,35,4,28,11,6,145,2.783e-12,0.0039494,0.0540876,0.0302932,0.0039494,0.0243446,0.009898,3.04e-6,2.977e-03,1.471e-09
17,6,23,25,37,37,6,145,2.783e-12,0.014996800000000001,0.0056489999999999995,0.020095599999999998,0.021795199999999997,0.0319928,0.0319928,3.04e-6,2.823e-03,1.452e-09
6,58,3,18,7,53,6,145,2.783e-12,0.0056489999999999995,0.049838600000000004,0.0030995999999999997,0.015846600000000002,0.006498799999999999,0.0455896,3.04e-6,2.784e-03,1.456e-09
17,18,23,1,15,71,6,145,2.783e-12,0.014996800000000001,0.015846600000000002,0.020095599999999998,0.0014,0.0132972,0.060885999999999996,3.04e-6,2.754e-03,1.463e-09
2,17,9,41,22,54,6,145,2.783e-12,0.0022498,0.014996800000000001,0.0081984,0.035392,0.0192458,0.0464394,3.04e-6,2.766e-03,1.458e-09
46,11,42,38,7,1,6,145,2.783e-12,0.039640999999999996,0.009898,0.0362418,0.0328426,0.006498799999999999,0.0014,3.04e-6,3.109e-03,1.459e-09
16,47,13,24,33,12,6,145,2.783e-12,0.014147,0.0404908,0.0115976,0.0209454,0.0285936,0.0107478,3.04e-6,2.917e-03,1.463e-09
15,12,55,38,24,1,6,145,2.783e-12,0.0132972,0.0107478,0.0472892,0.0328426,0.0209454,0.0014,3.04e-6,3.113e-03,1.480e-09
13,17,46,10,24,35,6,145,2.783e-12,0.0115976,0.014996800000000001,0.039640999999999996,0.0090482,0.0209454,0.0302932,3.04e-6,2.849e-03,1.467e-09
9,59,4,15,56,2,6,145,2.783e-12,0.0081984,0.0506884,0.0039494,0.0132972,0.048138999999999994,0.0022498,3.04e-6,2.931e-03,1.468e-09
10,40,50,1,22,22,6,145,2.783e-12,0.0090482,0.0345422,0.0430402,0.0014,0.0192458,0.0192458,3.04e-6,2.918e-03,1.470e-09
68,15,6,10,3,43,6,145,2.783e-12,0.058336599999999995,0.0132972,0.0056489999999999995,0.0090482,0.0030995999999999997,0.0370916,3.04e-6,3.063e-03,1.449e-09
4,42,60,8,16,15,6,145,2.783e-12,0.0039494,0.0362418,0.0515382,0.007348599999999999,0.014147,0.0132972,3.04e-6,2.987e-03,1.479e-09
28,31,5,1,47,33,6,145,2.783e-12,0.0243446,0.026893999999999998,0.0047992,0.0014,0.0404908,0.0285936,3.04e-6,2.850e-03,1.452e-09
27,1,79,12,25,1,6,145,2.783e-12,0.0234948,0.0014,0.0676844,0.0107478,0.021795199999999997,0.0014,3.04e-6,3.112e-03,1.483e-09
4,22,26,5,83,5,6,145,2.783e-12,0.0039494,0.0192458,0.022645,0.0047992,0.07108360000000001,0.0047992,3.04e-6,2.875e-03,1.486e-09
11,42,15,25,2,50,6,145,2.783e-12,0.009898,0.0362418,0.0132972,0.021795199999999997,0.0022498,0.0430402,3.04e-6,2.759e-03,1.461e-09
40,21,4,3,64,13,6,145,2.783e-12,0.0345422,0.018396,0.0039494,0.0030995999999999997,0.0549374,0.0115976,3.04e-6,2.917e-03,1.453e-09
2,3,14,2,38,86,6,145,2.783e-12,0.0022498,0.0030995999999999997,0.0124474,0.0022498,0.0328426,0.07363300000000002,3.04e-6,3.169e-03,1.473e-09
26,6,10,67,14,22,6,145,2.783e-12,0.022645,0.0056489999999999995,0.0090482,0.0574868,0.0124474,0.0192458,3.04e-6,2.902e-03,1.471e-09
23,44,11,44,21,2,6,145,2.783e-12,0.020095599999999998,0.0379414,0.009898,0.0379414,0.018396,0.0022498,3.04e-6,3.034e-03,1.462e-09
77,10,10,20,27,1,6,145,2.783e-12,0.06598480000000001,0.0090482,0.0090482,0.017546199999999998,0.0234948,0.0014,3.04e-6,2.963e-03,1.454e-09
42,34,31,7,2,29,6,145,2.783e-12,0.0362418,0.029443399999999998,0.026893999999999998,0.006498799999999999,0.0022498,0.0251944,3.04e-6,2.803e-03,1.454e-09
25,32,19,23,12,34,6,145,2.783e-12,0.021795199999999997,0.027743800000000002,0.0166964,0.020095599999999998,0.0107478,0.029443399999999998,3.04e-6,2.796e-03,1.452e-09
63,7,15,15,6,39,6,145,2.783e-12,0.0540876,0.006498799999999999,0.0132972,0.0132972,0.0056489999999999995,0.0336924,3.04e-6,2.798e-03,1.447e-09
48,16,25,3,42,11,6,145,2.783e-12,0.041340600000000005,0.014147,0.021795199999999997,0.0030995999999999997,0.0362418,0.009898,3.04e-6,2.879e-03,1.456e-09
50,1,13,39,6,36,6,145,2.783e-12,0.0430402,0.0014,0.0115976,0.0336924,0.0056489999999999995,0.031142999999999997,3.04e-6,2.785e-03,1.455e-09
41,8,5,23,2,66,6,145,2.783e-12,0.035392,0.007348599999999999,0.0047992,0.020095599999999998,0.0022498,0.056637,3.04e-6,2.933e-03,1.460e-09
8,1,57,34,38,7,6,145,2.783e-12,0.007348599999999999,0.0014,0.0489888,0.029443399999999998,0.0328426,0.006498799999999999,3.04e-6,3.045e-03,1.480e-09
15,11,47,2,32,38,6,145,2.783e-12,0.0132972,0.009898,0.0404908,0.0022498,0.027743800000000002,0.0328426,3.04e-6,2.846e-03,1.468e-09
10,80,9,8,17,21,6,145,2.783e-12,0.0090482,0.06853420000000002,0.0081984,0.007348599999999999,0.014996800000000001,0.018396,3.04e-6,2.907e-03,1.469e-09
88,24,4,10,14,5,6,145,2.783e-12,0.0753326,0.0209454,0.0039494,0.0090482,0.0124474,0.0047992,3.04e-6,2.961e-03,1.451e-09
32,10,4,14,34,51,6,145,2.783e-12,0.027743800000000002,0.0090482,0.0039494,0.0124474,0.029443399999999998,0.04389,3.04e-6,3.029e-03,1.454e-09
24,57,14,10,4,36,6,145,2.783e-12,0.0209454,0.0489888,0.0124474,0.0090482,0.0039494,0.031142999999999997,3.04e-6,2.787e-03,1.451e-09
11,15,23,11,49,36,6,145,2.783e-12,0.009898,0.0132972,0.020095599999999998,0.009898,0.042190399999999996,0.031142999999999997,3.04e-6,2.835e-03,1.469e-09
2,11,30,19,5,78,6,145,2.783e-12,0.0022498,0.009898,0.0260442,0.0166964,0.0047992,0.06683460000000001,3.04e-6,2.702e-03,1.472e-09
71,6,4,22,24,18,6,145,2.783e-12,0.060885999999999996,0.0056489999999999995,0.0039494,0.0192458,0.0209454,0.015846600000000002,3.04e-6,2.834e-03,1.447e-09
14,13,7,88,3,20,6,145,2.783e-12,0.0124474,0.0115976,0.006498799999999999,0.0753326,0.0030995999999999997,0.017546199999999998,3.04e-6,2.944e-03,1.479e-09
42,13,38,23,15,14,6,145,2.783e-12,0.0362418,0.0115976,0.0328426,0.020095599999999998,0.0132972,0.0124474,3.04e-6,2.897e-03,1.460e-09
53,21,4,7,3,57,6,145,2.783e-12,0.0455896,0.018396,0.0039494,0.006498799999999999,0.0030995999999999997,0.0489888,3.04e-6,3.170e-03,1.450e-09
27,53,8,6,4,47,6,145,2.783e-12,0.0234948,0.0455896,0.007348599999999999,0.0056489999999999995,0.0039494,0.0404908,3.04e-6,2.802e-03,1.454e-09
56,44,1,12,25,7,6,145,2.783e-12,0.048138999999999994,0.0379414,0.0014,0.0107478,0.021795199999999997,0.006498799999999999,3.04e-6,2.895e-03,1.449e-09
13,28,13,1,3,87,6,145,2.783e-12,0.0115976,0.0243446,0.0115976,0.0014,0.0030995999999999997,0.07448280000000002,3.04e-6,3.112e-03,1.474e-09
32,12,54,4,30,13,6,145,2.783e-12,0.027743800000000002,0.0107478,0.0464394,0.0039494,0.0260442,0.0115976,3.04e-6,2.939e-03,1.462e-09
17,19,12,69,4,24,6,145,2.783e-12,0.014996800000000001,0.0166964,0.0107478,0.0591864,0.0039494,0.0209454,3.04e-6,2.909e-03,1.462e-09
2,10,19,6,93,15,6,145,2.783e-12,0.0022498,0.0090482,0.0166964,0.0056489999999999995,0.07958160000000002,0.0132972,3.04e-6,2.905e-03,1.487e-09
15,61,36,18,8,7,6,145,2.783e-12,0.0132972,0.052388,0.031142999999999997,0.015846600000000002,0.007348599999999999,0.006498799999999999,3.04e-6,3.058e-03,1.470e-09
7,64,4,17,14,39,6,145,2.783e-12,0.006498799999999999,0.0549374,0.0039494,0.014996800000000001,0.0124474,0.0336924,3.04e-6,2.812e-03,1.459e-09
2,52,35,12,2,42,6,145,2.783e-12,0.0022498,0.044739799999999996,0.0302932,0.0107478,0.0022498,0.0362418,3.04e-6,2.831e-03,1.463e-09
4,55,7,48,23,8,6,145,2.783e-12,0.0039494,0.0472892,0.006498799999999999,0.041340600000000005,0.020095599999999998,0.007348599999999999,3.04e-6,2.989e-03,1.473e-09
68,25,7,29,4,12,6,145,2.783e-12,0.058336599999999995,0.021795199999999997,0.006498799999999999,0.0251944,0.0039494,0.0107478,3.04e-6,2.923e-03,1.452e-09
20,7,22,54,10,32,6,145,2.783e-12,0.017546199999999998,0.006498799999999999,0.0192458,0.0464394,0.0090482,0.027743800000000002,3.04e-6,2.860e-03,1.465e-09
8,2,54,22,25,34,6,145,2.783e-12,0.007348599999999999,0.0022498,0.0464394,0.0192458,0.021795199999999997,0.029443399999999998,3.04e-6,2.900e-03,1.476e-09
10,40,42,42,4,7,6,145,2.783e-12,0.0090482,0.0345422,0.0362418,0.0362418,0.0039494,0.006498799999999999,3.04e-6,3.087e-03,1.477e-09
11,31,8,13,7,75,6,145,2.783e-12,0.009898,0.026893999999999998,0.007348599999999999,0.0115976,0.006498799999999999,0.0642852,3.04e-6,2.933e-03,1.468e-09
35,2,54,6,1,47,6,145,2.783e-12,0.0302932,0.0022498,0.0464394,0.0056489999999999995,0.0014,0.0404908,3.04e-6,2.788e-03,1.464e-09
